nombre,marca,precio,imagen
Shampoo en Seco con Aroma a Frutos Rojos y Coco para Perro,Tropiclean,Sin precio,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w0NDQ2OXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJoa01pOW9NR1F2T1RReE9UTXlNek0wTWpnM09DNXFjR2N8ZTU5NjU4ZGMwOTIxMThiMTg4Y2I1YmU4OTk1MzJiNmM5ZDdkZDkyODZlYTVlNmUxNWVhNTBmM2JiNDM3NGU3Yg
"Limador de Uñas Eléctrico para Perro, Mediano",Well & Good,$479.00,https://www.petco.com.mx/medias/133553.jpg-300ftw?context=bWFzdGVyfHJvb3R8MjE5NTJ8aW1hZ2UvanBlZ3xhR1l4TDJobU5TODVPRFF4TXpNeE1EUTBNemd5THpFek16VTFNeTVxY0dkZk16QXdablIzfDY2NTc2Y2MyNDY4OTk3NGRiM2ZjZWUwMGM4NGI0ZjJmYTRlMDU4NzRlMDhhZmEyZWU3NDAxMmFmMGJmZmMwNDY
"Toallitas de Limpieza para Ojos, 20 Toallas",Bio Wipe,$99.00,https://www.petco.com.mx/medias/300ftw-111663.jpg?context=bWFzdGVyfHJvb3R8NDI3ODV8aW1hZ2UvanBlZ3xhRGRtTDJneFl5OHhNRGd5TVRnMU5qWXlORFkzTUM4ek1EQm1kSGRmTVRFeE5qWXpMbXB3Wnd8ZjI3MWNjOTY4NjE3Nzc2YWU5MTg5ZWQzNDNhZDU4NTMzMDY0MmIzYzcyZGI1YzQ2NjNiNDNmMjIwZDIzY2MxZA
"Shampoo de Limpieza Profunda con Aroma a Coco y Frutos Rojos para Perro y Gato, 592 ml",Tropiclean,Sin precio,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w0OTYyNHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnd01DOW9NR012T1RReE9USTNOVFUyTnpFek5DNXFjR2N8NGU1MjBhYjViNTViZjJjYmFkY2U0MDE3NjkzYWY3ZmQxNzY5Y2E0OGJhZmE4N2E2NDRjYjc2MTIzNzZlN2NmOA
"Colonia Deodorizante Aroma Calmante a Lavanda y Manzanilla para Perro, 118 ml",Espree,$229.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3wyODcwOXxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnMk9TOW9NalV2T1RReE5EUTBNemd5TnpJek1DNXFjR2N8NjdhOTQ3OTFkYTU2MDY1NTBmYWQ5YTljZThmZWQ5YTZjMDkzMTI2OWFhMGViMjZkZTljMzI4ZjU1OTY3NmVmZg
"Limpiador de Ojos para Perro, 118 ml",Espree,Sin precio,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3wzMjI1N3xpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnek5pOW9NbUl2T1RReE5EUXlOVFEzTnpFMU1DNXFjR2N8ZDZjNWFjNGQ1NTE0ZmJiYThjZWZkNGMyMDlkODEwMDg5NmQ4OGMzYzc5ODVjMWQ4NzgxMzFkNzU4MmE5NDgxZQ
"Acondicionador Luxury Rehidratante de Lujo Natural para Perro, 591 ml",Espree,Sin precio,https://www.petco.com.mx/medias/300ftw-101525.jpg?context=bWFzdGVyfHJvb3R8MjcxNDF8aW1hZ2UvanBlZ3xhR1EwTDJobE9DOHhNVEU1TnpJd05EWXlOelE0Tmk4ek1EQm1kSGRmTVRBeE5USTFMbXB3Wnd8ZWQyYjVmMTNiZWFmM2IzNTJlNmQyZTI1YzA3YmFiYmRmNDVlMTgyMDIwZWEwNmE0NzE2YTUyMjlhNDE4MWI2Nw
"2 en 1 Shampoo y Acondicionador Natural Auxiliar para la Muda de Pelo para Perro, 591 ml",Espree,Sin precio,https://www.petco.com.mx/medias/300ftw-101566.jpg?context=bWFzdGVyfHJvb3R8NTAxMzh8aW1hZ2UvanBlZ3xhREEyTDJneE5TOHhNVE0yTWpRd09ERXpOamN6TkM4ek1EQm1kSGRmTVRBeE5UWTJMbXB3Wnd8OTRjZjBiNzhjNmU2Zjg4MDY2Mzg2ZTZiNmUxODJjYzY3NTNmYzFmYjc5ZjAzMDIzZTk0YjA5ZWFhMjZlNTAzMg
Cepillo de Goma Zoom Groom Azul para Perro,Kong,$219.00,https://www.petco.com.mx/medias/?context=bWFzdGVyfGltYWdlc3w2OTM1MHxpbWFnZS9qcGVnfGFXMWhaMlZ6TDJnNU5TOW9OakF2T1RNeU1qYzRNemd3TVRNM05DNXFjR2N8NGQwYmNmZmYxYzM5MWNjOTAyNWM4NzdkZDEwZGFjYmQ2MWFjMTRhYzY0NTU4MzgwYTljZjdhODUwZTdhNTNkYw
"Colonia Deodorizante Aroma Fresco a Selva Tropical para Perro, 118 ml",Espree,$199.00,https://www.petco.com.mx/medias/101586.jpg-300ftw?context=bWFzdGVyfHJvb3R8MzE1MzN8aW1hZ2UvanBlZ3xhRGt6TDJobFppOHhNREE1T0RjMk1qZ3dPVE0zTkM4eE1ERTFPRFl1YW5Cblh6TXdNR1owZHd8NTNiYjU4M2NkZWRlNTQzYThlMGM5MzM0OTRmZDJhYzM4ODRlOWVmNDEyMWVkYWI1MTg2YjA5NjI3ZTE2ZmFkNg
