nombre,marca,precio,imagen
"Navidad Pijama Patrón Tartán Rojo para Perro, Chico",Merry Makings,$399.00,https://www.petco.com.mx/medias/300ftw-144523.jpg?context=bWFzdGVyfHJvb3R8Mzg3NDF8aW1hZ2UvanBlZ3xhR1l4TDJnMU15OHhNRGt5TmpFd056RXpNVGt6TkM4ek1EQm1kSGRmTVRRME5USXpMbXB3Wnd8NTlkMTg1MTlkODM3MmU2MDRmNWMzNzUzYWVjZWM5ZDAzYmM4MTIxZWZhM2FmNmZlMTQ0MTE0YzQ5MGNlNjg4MQ
Sin nombre,Sin marca,Sin precio,https://www.petco.com.mx/medias/300ftw-138566-10.jpg?context=bWFzdGVyfHJvb3R8NjkyODF8aW1hZ2UvanBlZ3xhR0U1TDJnM05DOHhNRGc1TURjMk16QXhNREEzT0M4ek1EQm1kSGRmTVRNNE5UWTJYekV3TG1wd1p3fDI0OTIzMmRmOTAwNzE4YTI3NDAxMjdkZGM5YTg4MDFkNjc5YTUyOTMyOTY1ODQ5ZjkxMjY5MWYzOGIwZTVjOTI
"Disfraz de Araña para Perro, XXX-Grande",Latipaw,Sin precio,https://www.petco.com.mx/medias/300ftw-139059.jpg?context=bWFzdGVyfHJvb3R8NTkwNjB8aW1hZ2UvanBlZ3xhR0l6TDJnNU15OHhNRGc0TlRjMk9UZzFOVEF3Tmk4ek1EQm1kSGRmTVRNNU1EVTVMbXB3Wnd8NzBlOWY3MzgzOWU1NzIyYWZlZGNkNmNiZDkwYjJjN2IyMTc5NzBhOTRlNTc5YmNiMTlkNTNmOWM4OTgwZmNiMg
Sin nombre,Sin marca,Sin precio,https://www.petco.com.mx/medias/300ftw-138574.jpg?context=bWFzdGVyfHJvb3R8NTU5OTB8aW1hZ2UvanBlZ3xhREl6TDJnNE9DOHhNRGc1TURjNE5ETXdPVEkzT0M4ek1EQm1kSGRmTVRNNE5UYzBMbXB3Wnd8ZTkzMTZhNDY5YjQ2ZmE3NTA0Zjg2ZTZkNjkzMjBhNTVhZjg4MTQxYzgzOTdlYTI3MzU3YWUwMGU1ODZjZTJlMQ
"Pet Boots Botas de Protección para Patas para Perro, Mediano",Walkin' Pets,Sin precio,https://www.petco.com.mx/medias/136100.jpg-300ftw?context=bWFzdGVyfHJvb3R8NDQyOTB8aW1hZ2UvanBlZ3xhR0prTDJnMk1TODVPRGMxT0RRd09EWXdNVGt3THpFek5qRXdNQzVxY0dkZk16QXdablIzfGZkMjBjNjRjMjQ5ZDdjZjEwNzQ1ZDYxMDMxOWVlYzY5YTIxMTA2NzhhYjkxNTkyZmJhYjQ5NjY2NjMxMTlmNzA
"The Charismatic Suéter Lilu Degradado Rosa para Perro, Mediano",Youly,Sin precio,https://www.petco.com.mx/medias/300ftw-149743.jpg?context=bWFzdGVyfHJvb3R8NzgwMTd8aW1hZ2UvanBlZ3xhR00xTDJnd05TOHhNVEl4T0RjNU56RXpNemcxTkM4ek1EQm1kSGRmTVRRNU56UXpMbXB3Wnd8NWI1ZTJmNzQ5OTlmMzcyYzlhZGI3Y2U1MzZhMGMzNmU3M2JiZWMxYjkxODUyNzVmMDQzODA4MzRiNzU4ZThkNw
"Fall Capa Puffer Color Azul Doble Vista para Perro, Mediano",Fabdog,Sin precio,https://www.petco.com.mx/medias/300ftw-149821.jpg?context=bWFzdGVyfHJvb3R8MTgwNzB8aW1hZ2UvanBlZ3xhR1kzTDJoaE15OHhNVEkwTURNd016QXpORE01T0M4ek1EQm1kSGRmTVRRNU9ESXhMbXB3Wnd8MGFhNTBjYzJlZGViYmY4ZDM3OTc5YmI0MWJlNmRmMzI5NTk1ZjgzZTJiYjZhNzQ1OTk2YTcyMDlmNjcyNzhmYw
"Fall Chaleco Puffer Color Negro Doble Vista para Perro, Chico",Fabdog,Sin precio,https://www.petco.com.mx/medias/300ftw-149815.jpg?context=bWFzdGVyfHJvb3R8OTg1Njl8aW1hZ2UvanBlZ3xhR1ZqTDJnMFpTOHhNVEkwTURJd05UQXlOVE14TUM4ek1EQm1kSGRmTVRRNU9ERTFMbXB3Wnd8YzhmYjg2NDRkMGI2NDExZDgyODIxZjBlMTM2MWQ3MzVhZWRhN2FkNmIxZTBmZjg1NTAxM2M5NjE4MWNmNDZmMQ
"Summer Botas para Lluvia de Silicón para Perro, Mediano",Youly,Sin precio,https://www.petco.com.mx/medias/300ftw-147651.jpg?context=bWFzdGVyfHJvb3R8NTU0NjB8aW1hZ2UvanBlZ3xhR001TDJobU5DOHhNVEExTWprd05EY3hNREUzTkM4ek1EQm1kSGRmTVRRM05qVXhMbXB3Wnd8YjA3ZDg3MTY0MWNmNDYwNjkwMDM4Y2YxNmNhZjQ0ZTkyMTkwNjNkOTk5YjY0NGVkZjk5YmYyZTM1MDdlN2FlMQ
"Suéter Tejido Blanco con Pompón para Perro, Mediano",Latipaw,$399.00,https://www.petco.com.mx/medias/300ftw-145539.jpg?context=bWFzdGVyfHJvb3R8NjUxMjd8aW1hZ2UvanBlZ3xhRGxtTDJnek1DOHhNRGt6TXpjM056WTVORGMxTUM4ek1EQm1kSGRmTVRRMU5UTTVMbXB3Wnd8NjZkYjdiYjQ1NGE1YjIwOWRlYmNlYzhhNDVkMDJlODY0MDZkNGFlNzUyYjIyOWMwZGQ3YjNjMGE4OWI1ZDE2Mg
